Area_name,Delim,POP010210D
"Summit, CO",#,27994
"Teller, CO",#,23350
"Washington, CO",#,4814
"Weld, CO",#,252825
"Yuma, CO",#,10043
CONNECTICUT,#,3574097
"Fairfield, CT",#,916829
"Hartford, CT",#,894014
"Litchfield, CT",#,189927
"Middlesex, CT",#,165676
"New Haven, CT",#,862477
"New London, CT",#,274055
"Tolland, CT",#,152691
"Windham, CT",#,118428
DELAWARE,#,897934
"Kent, DE",#,162310
"New Castle, DE",#,538479
"Sussex, DE",#,197145
DISTRICT OF COLUMBIA,#,601723
District of Columbia,#,601723
FLORIDA,#,18801310
"Alachua, FL",#,247336
"Baker, FL",#,27115
"Bay, FL",#,168852
"Bradford, FL",#,28520
"Brevard, FL",#,543376
"Broward, FL",#,1748066
"Calhoun, FL",#,14625
"Charlotte, FL",#,159978
"Citrus, FL",#,141236
"Clay, FL",#,190865
"Collier, FL",#,321520
"Columbia, FL",#,67531
"DeSoto, FL",#,34862
"Dixie, FL",#,16422
"Duval, FL",#,864263
"Escambia, FL",#,297619
"Flagler, FL",#,95696
"Franklin, FL",#,11549
"Gadsden, FL",#,46389
"Gilchrist, FL",#,16939
"Glades, FL",#,12884
"Gulf, FL",#,15863
"Hamilton, FL",#,14799
"Hardee, FL",#,27731
"Hendry, FL",#,39140
"Hernando, FL",#,172778
"Highlands, FL",#,98786
"Hillsborough, FL",#,1229226
"Holmes, FL",#,19927
"Indian River, FL",#,138028
"Jackson, FL",#,49746
"Jefferson, FL",#,14761
"Lafayette, FL",#,8870
"Lake, FL",#,297052
"Lee, FL",#,618754
"Leon, FL",#,275487
"Levy, FL",#,40801
"Liberty, FL",#,8365
"Madison, FL",#,19224
"Manatee, FL",#,322833
"Marion, FL",#,331298
"Martin, FL",#,146318
"Miami-Dade, FL",#,2496435
"Monroe, FL",#,73090
"Nassau, FL",#,73314
"Okaloosa, FL",#,180822
"Okeechobee, FL",#,39996
"Orange, FL",#,1145956
"Osceola, FL",#,268685
"Palm Beach, FL",#,1320134
"Pasco, FL",#,464697
"Pinellas, FL",#,916542
"Polk, FL",#,602095
"Putnam, FL",#,74364
"St. Johns, FL",#,190039
"St. Lucie, FL",#,277789
"Santa Rosa, FL",#,151372
"Sarasota, FL",#,379448
"Seminole, FL",#,422718
"Sumter, FL",#,93420
"Suwannee, FL",#,41551
"Taylor, FL",#,22570
"Union, FL",#,15535
"Volusia, FL",#,494593
"Wakulla, FL",#,30776
"Walton, FL",#,55043
"Washington, FL",#,24896
GEORGIA,#,9687653
"Appling, GA",#,18236
"Atkinson, GA",#,8375
"Bacon, GA",#,11096
"Baker, GA",#,3451
"Baldwin, GA",#,45720
"Banks, GA",#,18395
"Barrow, GA",#,69367
"Bartow, GA",#,100157
"Ben Hill, GA",#,17634
"Berrien, GA",#,19286
"Bibb, GA",#,155547
"Bleckley, GA",#,13063
"Brantley, GA",#,18411
"Brooks, GA",#,16243
"Bryan, GA",#,30233
"Bulloch, GA",#,70217
"Burke, GA",#,23316
"Butts, GA",#,23655
"Calhoun, GA",#,6694
"Camden, GA",#,50513
"Candler, GA",#,10998
"Carroll, GA",#,110527
"Catoosa, GA",#,63942
"Charlton, GA",#,12171
"Chatham, GA",#,265128
"Chattahoochee, GA",#,11267
"Chattooga, GA",#,26015
"Cherokee, GA",#,214346
"Clarke, GA",#,116714
"Clay, GA",#,3183
"Clayton, GA",#,259424
"Clinch, GA",#,6798
"Cobb, GA",#,688078
"Coffee, GA",#,42356
"Colquitt, GA",#,45498
"Columbia, GA",#,124053
"Cook, GA",#,17212
"Coweta, GA",#,127317
"Crawford, GA",#,12630
"Crisp, GA",#,23439
"Dade, GA",#,16633
"Dawson, GA",#,22330
"Decatur, GA",#,27842
"DeKalb, GA",#,691893
"Dodge, GA",#,21796
"Dooly, GA",#,14918
"Dougherty, GA",#,94565
"Douglas, GA",#,132403
"Early, GA",#,11008
"Echols, GA",#,4034
"Effingham, GA",#,52250
"Elbert, GA",#,20166
"Emanuel, GA",#,22598
"Evans, GA",#,11000
"Fannin, GA",#,23682
"Fayette, GA",#,106567
"Floyd, GA",#,96317
"Forsyth, GA",#,175511
"Franklin, GA",#,22084
"Fulton, GA",#,920581
"Gilmer, GA",#,28292
"Glascock, GA",#,3082
"Glynn, GA",#,79626
"Gordon, GA",#,55186
"Grady, GA",#,25011
"Greene, GA",#,15994
"Gwinnett, GA",#,805321
"Habersham, GA",#,43041
"Hall, GA",#,179684
"Hancock, GA",#,9429
"Haralson, GA",#,28780
"Harris, GA",#,32024
"Hart, GA",#,25213
"Heard, GA",#,11834
"Henry, GA",#,203922
"Houston, GA",#,139900
"Irwin, GA",#,9538
"Jackson, GA",#,60485
"Jasper, GA",#,13900
"Jeff Davis, GA",#,15068
"Jefferson, GA",#,16930
"Jenkins, GA",#,8340
"Johnson, GA",#,9980
"Jones, GA",#,28669
"Lamar, GA",#,18317
"Lanier, GA",#,10078
"Laurens, GA",#,48434
"Lee, GA",#,28298
"Liberty, GA",#,63453
"Lincoln, GA",#,7996
"Long, GA",#,14464
"Lowndes, GA",#,109233
"Lumpkin, GA",#,29966
"McDuffie, GA",#,21875
"McIntosh, GA",#,14333
"Macon, GA",#,14740
"Madison, GA",#,28120
"Marion, GA",#,8742
"Meriwether, GA",#,21992
"Miller, GA",#,6125
"Mitchell, GA",#,23498
"Monroe, GA",#,26424
"Montgomery, GA",#,9123
"Morgan, GA",#,17868
"Murray, GA",#,39628
"Muscogee, GA",#,189885
"Newton, GA",#,99958
"Oconee, GA",#,32808
"Oglethorpe, GA",#,14899
"Paulding, GA",#,142324
"Peach, GA",#,27695
"Pickens, GA",#,29431
"Pierce, GA",#,18758
"Pike, GA",#,17869
"Polk, GA",#,41475
"Pulaski, GA",#,12010
"Putnam, GA",#,21218
"Quitman, GA",#,2513
"Rabun, GA",#,16276
"Randolph, GA",#,7719
"Richmond, GA",#,200549
"Rockdale, GA",#,85215
"Schley, GA",#,5010
"Screven, GA",#,14593
"Seminole, GA",#,8729
"Spalding, GA",#,64073
"Stephens, GA",#,26175
"Stewart, GA",#,6058
"Sumter, GA",#,32819
"Talbot, GA",#,6865
"Taliaferro, GA",#,1717
"Tattnall, GA",#,25520
"Taylor, GA",#,8906
"Telfair, GA",#,16500
"Terrell, GA",#,9315
"Thomas, GA",#,44720
"Tift, GA",#,40118
"Toombs, GA",#,27223
"Towns, GA",#,10471
"Treutlen, GA",#,6885
"Troup, GA",#,67044
"Turner, GA",#,8930
"Twiggs, GA",#,9023
"Union, GA",#,21356
"Upson, GA",#,27153
"Walker, GA",#,68756
"Walton, GA",#,83768
"Ware, GA",#,36312
"Warren, GA",#,5834
"Washington, GA",#,21187
"Wayne, GA",#,30099
"Webster, GA",#,2799
"Wheeler, GA",#,7421
"White, GA",#,27144
"Whitfield, GA",#,102599
"Wilcox, GA",#,9255
"Wilkes, GA",#,10593
"Wilkinson, GA",#,9563
"Worth, GA",#,21679
HAWAII,#,1360301
"Hawaii, HI",#,185079
"Honolulu, HI",#,953207
"Kalawao, HI",#,90
"Kauai, HI",#,67091
"Maui, HI",#,154834
IDAHO,#,1567582
"Ada, ID",#,392365
"Adams, ID",#,3976
"Bannock, ID",#,82839
"Bear Lake, ID",#,5986
"Benewah, ID",#,9285
"Bingham, ID",#,45607
"Blaine, ID",#,21376
"Boise, ID",#,7028
"Bonner, ID",#,40877
"Bonneville, ID",#,104234
"Boundary, ID",#,10972
"Butte, ID",#,2891
"Camas, ID",#,1117
"Canyon, ID",#,188923
"Caribou, ID",#,6963
